provincia,id,localidad,cp,id_prov_mstr
Tucuman,12846,MANUELA PEDRAZA,4166,90
Tucuman,13002,MANANTIALES,4124,90
Tucuman,12803,MARIA BLANCA,4157,90
Tucuman,12653,MANUEL GARCIA FERNANDEZ,4166,90
Tucuman,25005,MANCOPA CHICO,4115,90
Tucuman,12654,MARIA ELENA,4168,90
Tucuman,12652,MANCOPA,4115,90
Tucuman,12651,MANCHALA,4166,90
Tucuman,12527,MARAPA,4158,90
Tucuman,12414,MANANTIAL DE OVANTA,4105,90
Tucuman,23606,MACHO HUAÑUSCA,4137,90
Tucuman,12413,MALVINAS,4129,90
Tucuman,12802,MAL PASO,4157,90
Tucuman,12139,MACOMITA,4117,90
Tucuman,12845,MACIO,4172,90
Tucuman,12138,LUJAN,4187,90
Tucuman,24202,LUZ Y FUERZA,4103,90
Tucuman,12650,LUNAREJOS,4113,90
Tucuman,12348,LUISIANA ESTACION FCGM,4117,90
Tucuman,12271,MARIA LUISA,4174,90
Tucuman,12349,LUJAN,4117,90
Tucuman,12707,LULES,4128,90
Tucuman,12911,MANAGUA,4141,90
Tucuman,12140,MARIÑO,4117,90
Tucuman,25044,MISKY,4105,90
Tucuman,23028,MASCIO PILCO,4172,90
Tucuman,25019,MOLLE POZO,4168,90
Tucuman,23611,MOLLE YACO,4137,90
Tucuman,23189,MOLLES,4242,90
Tucuman,22423,LUIS PASTEUR,4178,90
Tucuman,23610,MOLLE DE ABAJO,4137,90
Tucuman,20962,MOLLE CHATO,4119,90
Tucuman,12274,MOLINOS,4151,90
Tucuman,12143,MOJON,4115,90
Tucuman,12656,MIXTA,4115,90
Tucuman,12477,MISTOL,4162,90
Tucuman,24633,MOLLE YACO,4124,90
Tucuman,22409,MARTA,4178,90
Tucuman,13004,MIRANDA,4124,90
Tucuman,12655,MIGUEL LILLO,4113,90
Tucuman,23609,MESADA DE ENCIMA,4137,90
Tucuman,12804,MERCEDES,4152,90
Tucuman,12415,MERCEDES,4128,90
Tucuman,12273,MEMBRILLO,4146,90
Tucuman,12272,MEDINAS,4151,90
Tucuman,12142,MEDINA,4101,90
Tucuman,12350,MAYO,4182,90
Tucuman,12141,MATUL,4101,90
Tucuman,13003,MATO YACO,4122,90
Tucuman,25002,MASCIO SUR,4172,90
Tucuman,24632,MIMILTO,4124,90
Tucuman,23025,LOVAR,4174,90
Tucuman,23603,LOS POCITOS,4137,90
Tucuman,12910,LOS ZAZOS,4137,90
Tucuman,12345,LOS RALOS,4182,90
Tucuman,12645,LOS QUEMADOS,4113,90
Tucuman,24630,LOS PUESTOS,4124,90
Tucuman,12644,LOS PUESTOS,4115,90
Tucuman,12344,LOS PORCELES,4111,90
Tucuman,24983,LOS POCITOS,4168,90
Tucuman,12958,LOS POCITOS,4101,90
Tucuman,13000,LOS PLANCHONES,4105,90
Tucuman,12552,LOS PIZARRO,4162,90
Tucuman,20959,LOS PINOS B,4000,90
Tucuman,12843,LOS PEREZ,4174,90
Tucuman,12745,LOS REYES,4143,90
Tucuman,12343,LOS PEREZ,4117,90
Tucuman,20958,LOS PEDRAZA,4119,90
Tucuman,12475,LOS PARAISOS,4176,90
Tucuman,23177,LOS PANCHILLOS,4176,90
Tucuman,22725,LOS OCHO CUARTOS,4152,90
Tucuman,12957,LOS NOGALES,4101,90
Tucuman,12744,LOS MOYES,4143,90
Tucuman,12551,LOS MOLLES,4242,90
Tucuman,24231,MONASTERIO,4103,90
Tucuman,12798,LOS LUNAS,4155,90
Tucuman,23176,LOS MISTOLES,4162,90
Tucuman,12842,LOS MENDOZAS,4174,90
Tucuman,12342,LOS PEREYRA,4178,90
Tucuman,12799,LOS RIOS,4157,90
Tucuman,12800,LOS RIZOS,4157,90
Tucuman,12746,LOS ROBLES,4142,90
Tucuman,24200,LOS ZARAGOZA,4103,90
Tucuman,12648,LOS VILLEGAS,4115,90
Tucuman,24998,LOS VILLAGRA,4178,90
Tucuman,12347,LOS VILLAGRA,4111,90
Tucuman,12270,LOS VEGA,4146,90
Tucuman,23184,LOS VAZQUEZ,4105,90
Tucuman,12346,LOS VALLISTOS,4109,90
Tucuman,24996,LOS VALDES,4168,90
Tucuman,23024,LOS TRES BAJOS,4161,90
Tucuman,12844,LOS TREJOS,4174,90
Tucuman,12269,LOS TIMBRES,4147,90
Tucuman,21910,LOS TIMBOS,4101,90
Tucuman,12647,LOS SUELDOS,4111,90
Tucuman,23183,LOS SOTELO,4176,90
Tucuman,12749,LOS SOSAS,4142,90
Tucuman,23180,LOS SORAIRE,4176,90
Tucuman,22734,LOS SIFONES,4132,90
Tucuman,13001,LOS SAUCES,4176,90
Tucuman,12476,LOS SAUCES,4176,90
Tucuman,12801,LOS SARMIENTOS,4157,90
Tucuman,23179,LOS SARACHO,4176,90
Tucuman,23178,LOS RUIZ,4176,90
